variant,min_dissim,mean_dissim,max_jaccard_top,min_gvf5,min_iqr,w_vuln,min_rho_vs_E0,case
E0 per-scenario (08),0.09238995478104595,0.2093684467857283,0.8099173553719008,0.9332344615947695,0.20785747670623045,0.16 0.24 0.38 0.34,1.0,T1g regimes
E1 pooled over set,0.13817054740067058,0.20513126246163393,0.7566844919786097,0.9303761385375502,0.16742804351546509,0.40 0.40 0.40 0.40,0.874683595087839,T1g regimes
E1w pooled over week,0.15700759828617705,0.24329784822219913,0.6696315120711563,0.9262590334568234,0.16106375584160587,0.45 0.45 0.45 0.45,0.8289458891127195,T1g regimes
E2 common vuln scale,0.03486143151627141,0.10177927194836844,0.8933717579250721,0.9369607752192421,0.20703935685144653,0.13 0.23 0.37 0.32,0.8462676306601945,T1g regimes
E3 floor 0.20,0.08642746197759166,0.20393167406157076,0.8099173553719008,0.9332344615947695,0.2100421345259726,0.20 0.24 0.38 0.34,0.9959914444338692,T1g regimes
E3 floor 0.25,0.09093710854778858,0.20024522529039712,0.8149171270718232,0.9332344615947695,0.2117020696596818,0.25 0.25 0.38 0.34,0.9802351403833433,T1g regimes
E3 floor 0.30,0.11710126298396917,0.19067638024687528,0.8481012658227848,0.9338911412446225,0.2163376254996574,0.30 0.30 0.36 0.34,0.9507618545263943,T1g regimes
E0 per-scenario (08),0.007029835021597819,0.14713263638439544,0.9043478260869565,0.9333922205424952,0.20785747670623045,0.34 0.16 0.27 0.15,1.0,T0 article times
E1 pooled over set,0.017876734693518803,0.09054520468448679,0.8585572842998586,0.9376639738282756,0.1970763980565826,0.25 0.25 0.25 0.25,0.9744121990585907,T0 article times
E1w pooled over week,0.05602142576573199,0.21361600886120902,0.7473404255319149,0.928158582328606,0.171674592601046,0.43 0.43 0.43 0.43,0.8565126675160226,T0 article times
E2 common vuln scale,0.0032041434106586664,0.10065013218460084,0.9466666666666667,0.9374883857302551,0.20512767746277555,0.32 0.13 0.23 0.12,0.9687588570586896,T0 article times
E3 floor 0.20,0.012357190889682013,0.14327895642756883,0.8744650499286734,0.9333922205424952,0.20882382673839628,0.34 0.20 0.27 0.20,0.9952422405337286,T0 article times
E3 floor 0.25,0.01992624007516941,0.1428884297483961,0.8664772727272727,0.9333922205424952,0.20882382673839628,0.34 0.25 0.27 0.25,0.9786760216590059,T0 article times
E3 floor 0.30,0.028813420567396664,0.15233744323442833,0.8611898016997167,0.9339354178788658,0.20818670502449493,0.34 0.30 0.30 0.30,0.9486643665711213,T0 article times
