table,scheme,w_vuln,w_resp,w_risk,w_gini
T1,E1w,0.45498000636054575,0.3053223516172358,0.2396976420222185,0.43903945634349584
T1,slots 15 min,0.5726553231864059,0.23940017466734015,0.18794450214625394,0.439039456356802
T1,slots 30 min,0.572655323189605,0.23940017466886385,0.18794450214153116,0.43903945634020264
T1,slots 60 min,0.5726553231894183,0.23940017466857652,0.18794450214200523,0.4390394563635081
T1,E1wd,0.5726553231883103,0.2394001746678843,0.18794450214380543,0.4390394563535046
T1,E0 range,0.126-0.572,,,
T1g,E1w,0.4524122124329514,0.30676083990927544,0.2408269476577732,0.4390394563426131
T1g,slots 15 min,0.5749101276148311,0.2381370243274347,0.1869528480577342,0.43903945635567027
T1g,slots 30 min,0.5749101276158014,0.23813702432790507,0.18695284805629356,0.4390394563438183
T1g,slots 60 min,0.5749101276163839,0.23813702432799683,0.18695284805561918,0.4390394563618483
T1g,E1wd,0.5749101276157077,0.2381370243274184,0.1869528480568739,0.4390394563508726
T1g,E0 range,0.147-0.572,,,
T2,E1w,0.40658940012984546,0.33243096022312424,0.26097963964703025,0.4390394563481282
T2,slots 15 min,0.5564800269134325,0.24846163948360062,0.19505833360296695,0.43903945635535996
T2,slots 30 min,0.5564800269154644,0.24846163948421476,0.19505833360032085,0.43903945635140174
T2,slots 60 min,0.5564800269144687,0.2484616394834318,0.1950583336020995,0.4390394563770671
T2,E1wd,0.5564800269150172,0.24846163948366756,0.1950583336013152,0.43903945635043423
T2,E0 range,0.122-0.572,,,
T2g,E1w,0.3936029829604736,0.3397060023813304,0.266691014658196,0.43903945633210734
T2g,slots 15 min,0.5480926212020866,0.2531602972684534,0.19874708152946002,0.4390394563543955
T2g,slots 30 min,0.5480926212017228,0.25316029726807604,0.19874708153020124,0.43903945635408426
T2g,slots 60 min,0.5480926212015633,0.2531602972677003,0.1987470815307363,0.439039456372968
T2g,E1wd,0.5480926212024613,0.25316029726807626,0.1987470815294625,0.439039456346629
T2g,E0 range,0.135-0.572,,,
