change,time,vuln_rho,cri_rho_E0,cri_rho_E1w,cri_rho_E1wd
T1g -> T1,2023-11-06 08:30:00,1.0,1.0,0.9999027134993661,0.9998795969905777
T1g -> T1,2023-11-06 11:00:00,0.6336795770703276,0.7758532210988389,0.7601394362809686,0.6560850569768741
T1g -> T1,2023-11-06 21:00:00,0.9999999999999999,1.0,0.9999822848983686,0.9999603908520737
T1g -> T1,2023-11-11 11:00:00,1.0,1.0,0.9999761264847944,0.9999687932338368
T1g -> T2,2023-11-06 08:30:00,1.0,1.0,0.9970662825903466,0.9991349956657466
T1g -> T2,2023-11-06 11:00:00,0.3247709063504059,0.7299352390535121,0.5221281528365832,0.30504566345935974
T1g -> T2,2023-11-06 21:00:00,0.8246116930260176,0.8209228208623494,0.9373889616429827,0.8917432899443517
T1g -> T2,2023-11-11 11:00:00,0.9353525028321679,0.9680292937962994,0.9592526956771187,0.946951346647233
T1g -> T2g,2023-11-06 08:30:00,1.0,1.0,0.9921604335849632,0.9976225387543112
T1g -> T2g,2023-11-06 11:00:00,0.9722511164259267,0.9866851282167576,0.9821438363483833,0.9799904124260962
T1g -> T2g,2023-11-06 21:00:00,0.8246116930260176,0.8209228208623494,0.942173959412574,0.8952031293962871
T1g -> T2g,2023-11-11 11:00:00,0.9353525028321679,0.9680292937962994,0.9605072454298312,0.947981793713726
