table,set,states,min_dissim,mean_dissim,max_jaccard_top,mean_jaccard_top,mean_abs_diff,worst_pair,min_w_vuln
T0,article (s1-s4),"['S11', 'S02', 'S05', 'S07']",0.007029835021597819,0.14713263638439544,0.9043478260869565,0.7064880956455492,0.05462502430720272,S02-S07,0.1542100271351425
T0,"regimes: AM rush, late morning, weekday night, Saturday day","['S02', 'S04', 'S00', 'S11']",,,,,,not evaluable: ['S00'] has no active category,
T0,regimes with PM rush instead of night,"['S02', 'S04', 'S07', 'S11']",0.007029835021597819,0.21850602279264175,0.9043478260869565,0.6582015884165819,0.06828931155049305,S02-S07,0.1542100271351425
T1,article (s1-s4),"['S10', 'S02', 'S05', 'S06']",0.015642478259312864,0.16782356314895264,0.8638297872340426,0.672875955109049,0.07980880671352596,S02-S05,0.13589340661231503
T1,"regimes: AM rush, late morning, weekday night, Saturday day","['S02', 'S04', 'S08', 'S10']",0.01466536598215229,0.2234730180085318,0.8798283261802575,0.6241201625131989,0.09816936579139472,S02-S04,0.12570572682457298
T1,regimes with PM rush instead of night,"['S02', 'S04', 'S06', 'S10']",0.01466536598215229,0.1674779478094116,0.8798283261802575,0.6768941863100094,0.07912635354394354,S02-S04,0.12570572682457298
T1g,article (s1-s4),"['S11', 'S02', 'S05', 'S06']",0.007029835021597819,0.14713263638439544,0.9043478260869565,0.7064880956455492,0.05462502430720272,S02-S06,0.1542100271351425
T1g,"regimes: AM rush, late morning, weekday night, Saturday day","['S02', 'S04', 'S09', 'S11']",0.09238995478104595,0.2093684467857283,0.8099173553719008,0.6311072201755712,0.10076191455603904,S02-S04,0.15768280334023851
T1g,regimes with PM rush instead of night,"['S02', 'S04', 'S06', 'S11']",0.007029835021597819,0.13486197241052233,0.9043478260869565,0.7376246459772412,0.051269765072272426,S02-S06,0.1542100271351425
T2,article (s1-s4),"['S13', 'S02', 'S05', 'S07']",0.020382711896724026,0.12147908406777475,0.8559322033898306,0.7540438398579311,0.048019930571351795,S02-S05,0.13096143936132157
T2,"regimes: AM rush, late morning, weekday night, Saturday day","['S02', 'S04', 'S09', 'S13']",0.02064033863879855,0.1750315429006627,0.8691322901849218,0.688613008128227,0.07793645078543142,S02-S04,0.12218349421217313
T2,regimes with PM rush instead of night,"['S02', 'S04', 'S07', 'S13']",0.02064033863879855,0.12341325622117083,0.8691322901849218,0.7563015699929387,0.048906023348064986,S02-S04,0.12218349421217313
T2g,article (s1-s4),"['S14', 'S02', 'S05', 'S07']",0.016180475845055997,0.12603516739929743,0.8771428571428571,0.7124878064776775,0.05206579038574943,S02-S07,0.1349270449910745
T2g,"regimes: AM rush, late morning, weekday night, Saturday day","['S02', 'S04', 'S10', 'S14']",0.0969402596485952,0.1586181817346336,0.804945054945055,0.7104668045846135,0.07650525867642903,S02-S04,0.15768280334023851
T2g,regimes with PM rush instead of night,"['S02', 'S04', 'S07', 'S14']",0.016180475845055997,0.1209946790043489,0.8771428571428571,0.7154460472678806,0.05018277446333682,S02-S07,0.1349270449910745
