set,min_dissim,mean_dissim,max_jaccard_top,mean_jaccard_top,mean_abs_diff,table,n_candidates,min_cri_iqr
"('S01', 'S02', 'S03', 'S05')",0.034004649096364026,0.10129352837945882,0.827538247566064,0.7189197459301959,0.057889634264957544,T0,9,0.20785747670623045
"('S01', 'S02', 'S03', 'S06')",0.034004649096364026,0.1090594880136746,0.827538247566064,0.7308299869428003,0.05745669316361301,T0,9,0.20785747670623045
"('S01', 'S02', 'S03', 'S07')",0.007029835021597819,0.07056751206311518,0.9043478260869565,0.8028846740951862,0.04640653873546003,T0,9,0.20785747670623045
"('S01', 'S02', 'S03', 'S08')",0.034004649096364026,0.09907832995504506,0.827538247566064,0.7524282647055602,0.06337609362252718,T0,9,0.20785747670623045
"('S01', 'S02', 'S03', 'S11')",0.034004649096364026,0.15410840677419524,0.827538247566064,0.6908440450792891,0.06813886586116794,T0,9,0.20785747670623045
"('S01', 'S02', 'S03', 'S12')",0.034004649096364026,0.1259344180522115,0.827538247566064,0.7098780154822885,0.07063072486099128,T0,9,0.20785747670623045
"('S01', 'S02', 'S05', 'S06')",0.08438832053957357,0.12050131537548492,0.7685060565275909,0.687615410299272,0.06308353106790672,T0,9,0.20785747670623045
"('S01', 'S02', 'S05', 'S07')",0.007029835021597819,0.09976574366146762,0.9043478260869565,0.7314222914348035,0.05646410400170442,T0,9,0.20785747670623045
"('S01', 'S02', 'S05', 'S08')",0.05496370822251151,0.10419919739325245,0.7685060565275909,0.6959772098634286,0.07246269892871911,T0,9,0.20785747670623045
"('S01', 'S02', 'S05', 'S11')",0.10978878042677165,0.15905650706983698,0.7685060565275909,0.6648829649469715,0.07190936641564294,T0,9,0.20785747670623045
"('S01', 'S02', 'S05', 'S12')",0.10978878042677165,0.13217938213602454,0.8124137931034483,0.6895624824978285,0.07853012526417895,T0,9,0.20785747670623045
"('S01', 'S02', 'S06', 'S07')",0.007029835021597819,0.11196668944828991,0.9043478260869565,0.7420778956266623,0.057625225983250435,T0,9,0.20785747670623045
"('S01', 'S02', 'S06', 'S08')",0.05496370822251151,0.1214723500888697,0.7685060565275909,0.6847285044149133,0.07138542999943433,T0,9,0.20785747670623045
"('S01', 'S02', 'S06', 'S11')",0.08612947140951233,0.16093672482063448,0.8326359832635983,0.6776528577478805,0.07091318267472622,T0,9,0.20785747670623045
"('S01', 'S02', 'S06', 'S12')",0.1102172080858097,0.13989763017291124,0.7685060565275909,0.6684409137788165,0.0774437576372395,T0,9,0.20785747670623045
"('S01', 'S02', 'S07', 'S08')",0.007029835021597819,0.09454140175326164,0.9043478260869565,0.7698761962548919,0.06379111007661671,T0,9,0.20785747670623045
"('S01', 'S02', 'S07', 'S11')",0.007029835021597819,0.15984554417464436,0.9043478260869565,0.7012096903218645,0.06680390872235896,T0,9,0.20785747670623045
