set,min_dissim,mean_dissim,max_jaccard_top,mean_jaccard_top,mean_abs_diff
"('S03', 'S06', 'S08', 'S11')",0.3316798768011807,0.42644086025598515,0.4174757281553398,0.2508021514448008,0.20711489045059991
"('S01', 'S03', 'S08', 'S11')",0.3222823872425712,0.3816998107813875,0.4174757281553398,0.30662879543542837,0.16690865700786528
"('S03', 'S06', 'S11', 'S12')",0.30222331565523963,0.4077107971554349,0.4174757281553398,0.25482143464399576,0.21520349894008306
"('S01', 'S06', 'S08', 'S11')",0.29617975280698394,0.43441632709589195,0.4174757281553398,0.20963763888589082,0.18540553439763185
"('S01', 'S03', 'S06', 'S11')",0.29617975280698394,0.42059582399163975,0.4053475935828877,0.21123780162737663,0.17128473694096513
"('S01', 'S03', 'S06', 'S08')",0.29617975280698394,0.3427757065455104,0.36875,0.24105693523521984,0.19474690289449217
"('S01', 'S06', 'S11', 'S12')",0.2893769824994552,0.41640963801836406,0.4174757281553398,0.21293610861913678,0.1928046215794543
"('S01', 'S03', 'S11', 'S12')",0.2893769824994552,0.3441528072071677,0.4174757281553398,0.3126600961343841,0.17430774418968775
"('S01', 'S03', 'S06', 'S12')",0.2893769824994552,0.3278404686716899,0.3890063424947146,0.24773146205091826,0.20520935652928443
"('S01', 'S03', 'S06', 'S09')",0.2787488056966466,0.32841791603410186,0.3934252386002121,0.24904390742463975,0.2086465200420823
"('S03', 'S07', 'S11', 'S12')",0.2777101802769084,0.36471547169024,0.4174757281553398,0.3027812051747195,0.17817915116189165
"('S03', 'S05', 'S06', 'S08')",0.2714046239084804,0.365792145755907,0.566150178784267,0.30891999663599806,0.19429954893070644
"('S03', 'S05', 'S06', 'S09')",0.2714046239084804,0.3615007325604128,0.5850422195416164,0.3169859332578824,0.20847180066883605
"('S03', 'S05', 'S06', 'S12')",0.2714046239084804,0.3590466977717649,0.5831325301204819,0.31576967172456233,0.20511273573175615
"('S03', 'S07', 'S08', 'S11')",0.26351808795883025,0.38888752510329083,0.4174757281553398,0.299207074919153,0.1701300973734613
"('S03', 'S04', 'S06', 'S08')",0.25980416083967095,0.40009876196887917,0.5642857142857143,0.30864699216976593,0.19990276942882104
"('S03', 'S04', 'S06', 'S12')",0.25980416083967095,0.38067594106010405,0.5850422195416164,0.31612569291161124,0.2089214791545441
"('S03', 'S04', 'S06', 'S09')",0.25980416083967095,0.3758179077781796,0.5869565217391305,0.31734272324099466,0.21220832091868255
"('S03', 'S04', 'S07', 'S08')",0.25980416083967095,0.35024357828003316,0.5642857142857143,0.3616176097249563,0.16168721251750554
"('S03', 'S04', 'S07', 'S12')",0.25980416083967095,0.32537876705875746,0.5850422195416164,0.36865115752317323,0.1706663675421758
"('S03', 'S04', 'S07', 'S09')",0.25980416083967095,0.31889079834818224,0.5869565217391305,0.3699051410290238,0.17399600937367377
"('S01', 'S06', 'S09', 'S11')",0.2573614018003194,0.4155490543667776,0.4190064794816415,0.21376719652965895,0.1960065758066275
"('S03', 'S06', 'S09', 'S11')",0.2573614018003194,0.40258262167582826,0.4190064794816415,0.25597453982817714,0.21835084928957146
"('S03', 'S07', 'S09', 'S11')",0.2573614018003194,0.3579573607819825,0.4190064794816415,0.303971263535368,0.18136930157873965
"('S01', 'S03', 'S09', 'S11')",0.2573614018003194,0.3288655041357247,0.4190064794816415,0.31406616945027443,0.17748879740889476
"('S03', 'S05', 'S07', 'S08')",0.2543852051631028,0.3224996466590774,0.566150178784267,0.3619289532548399,0.15696648224993356
"('S03', 'S05', 'S07', 'S09')",0.2543852051631028,0.31113630772243184,0.5850422195416164,0.36958669010956297,0.1711419793543699
"('S03', 'S05', 'S07', 'S12')",0.2543852051631028,0.31031220836243467,0.5831325301204819,0.36833347539977573,0.1677401143499305
"('S02', 'S03', 'S08', 'S11')",0.24801409852442835,0.408253531541687,0.4174757281553398,0.2651770633328079,0.19573331150642637
"('S02', 'S03', 'S11', 'S12')",0.24801409852442835,0.37564320135524054,0.4174757281553398,0.27349702565668726,0.2038219199959095
"('S02', 'S03', 'S04', 'S08')",0.24801409852442835,0.37377653724511806,0.5642857142857143,0.32434987235007917,0.18822686532427413
"('S02', 'S03', 'S09', 'S11')",0.24801409852442835,0.36159220293443084,0.4190064794816415,0.2746636876369103,0.20696232636159365
"('S02', 'S03', 'S05', 'S08')",0.24801409852442835,0.35449812838439543,0.566150178784267,0.324234219363956,0.1828419983397713
"('S02', 'S03', 'S04', 'S12')",0.24801409852442835,0.34047344925044687,0.5850422195416164,0.336129252216609,0.1972455750499972
"('S02', 'S03', 'S05', 'S12')",0.24801409852442835,0.33387241331435713,0.5831325301204819,0.3353845735772046,0.193655185140821
"('S02', 'S03', 'S05', 'S09')",0.24801409852442835,0.3274036251618021,0.5850422195416164,0.3366143919065665,0.19700730609409658
"('S02', 'S03', 'S04', 'S09')",0.24801409852442835,0.32669259302731923,0.5869565217391305,0.33735983934203406,0.2005254728303313
"('S01', 'S05', 'S06', 'S09')",0.24527822043659586,0.34556008327971444,0.5850422195416164,0.2727225478555192,0.18583324097473844
"('S01', 'S05', 'S06', 'S08')",0.24527822043659586,0.344860530624166,0.566150178784267,0.2656994419732431,0.1722959066665848
"('S01', 'S05', 'S06', 'S12')",0.24527822043659586,0.33883845666304624,0.5831325301204819,0.2718283035958582,0.18241957215997381
"('S01', 'S03', 'S05', 'S06')",0.24527822043659586,0.32941814145454307,0.5279069767441861,0.2629470934701241,0.1478560679454031
"('S01', 'S03', 'S05', 'S08')",0.24527822043659586,0.3241173887048654,0.566150178784267,0.37020495615683724,0.1558581513405273
"('S01', 'S03', 'S05', 'S12')",0.24527822043659586,0.2985550002470537,0.5831325301204819,0.3790666487451622,0.1659818168339163
"('S01', 'S03', 'S05', 'S09')",0.24527822043659586,0.2908499074438652,0.5850422195416164,0.3805358784101914,0.16937458464071473
"('S01', 'S04', 'S06', 'S08')",0.227241676955532,0.37809446676842906,0.5642857142857143,0.2678320214415302,0.17406312598271179
"('S01', 'S04', 'S06', 'S12')",0.227241676955532,0.3593950198826763,0.5850422195416164,0.27458990871742645,0.1823923144007741
"('S01', 'S04', 'S06', 'S09')",0.227241676955532,0.3588045784287721,0.5869565217391305,0.27548492177315076,0.1857337600425973
"('S01', 'S03', 'S04', 'S06')",0.227241676955532,0.3434010981345117,0.5208333333333334,0.26421147645302784,0.15549339199120046
"('S01', 'S03', 'S04', 'S08')",0.227241676955532,0.33649545656604596,0.5642857142857143,0.3699419148713135,0.15779847229318553
"('S01', 'S03', 'S04', 'S12')",0.227241676955532,0.2982556951836014,0.5850422195416164,0.3794326331129197,0.16612766071124788
"('S01', 'S03', 'S04', 'S09')",0.227241676955532,0.28323853430984036,0.5869565217391305,0.38090263157401205,0.16944820534510488
"('S02', 'S07', 'S08', 'S11')",0.2147244687014892,0.41314794814996714,0.4174757281553398,0.2285758876291684,0.17475692336492235
"('S02', 'S03', 'S07', 'S11')",0.2147244687014892,0.40013046755691795,0.4053475935828877,0.23373277425955918,0.1537732305678581
"('S02', 'S07', 'S11', 'S12')",0.2147244687014892,0.394635942147712,0.4174757281553398,0.23371786604370956,0.1828059771533527
"('S02', 'S07', 'S09', 'S11')",0.2147244687014892,0.3933817277181082,0.4190064794816415,0.23434649579503164,0.18601008459436266
"('S02', 'S04', 'S07', 'S08')",0.2147244687014892,0.3552515992051253,0.5642857142857143,0.2871956538470321,0.1637874896483529
"('S02', 'S04', 'S07', 'S12')",0.2147244687014892,0.3360468353946454,0.5850422195416164,0.29579704980422356,0.17276664467302316
"('S02', 'S04', 'S07', 'S09')",0.2147244687014892,0.33506276316272376,0.5869565217391305,0.2964896047007477,0.17611024352868312
"('S02', 'S03', 'S07', 'S08')",0.2147244687014892,0.32178257108861963,0.38753959873284055,0.2644427531125006,0.1780786074222599
"('S02', 'S05', 'S07', 'S08')",0.2147244687014892,0.3216800066533364,0.566150178784267,0.28472271917074965,0.159458214530924
"('S02', 'S05', 'S07', 'S09')",0.2147244687014892,0.3214806116061403,0.5850422195416164,0.2933868755751208,0.1736476686595223
"('S02', 'S03', 'S04', 'S07')",0.2147244687014892,0.32136125308241104,0.5208333333333334,0.28713183274743476,0.1383548603164441
"('S02', 'S05', 'S07', 'S12')",0.2147244687014892,0.31515261576748965,0.5831325301204819,0.2926950894746599,0.17023184663092086
"('S02', 'S03', 'S05', 'S07')",0.2147244687014892,0.3070406399949167,0.5279069767441861,0.2855270945565356,0.12815548046934472
"('S02', 'S03', 'S07', 'S09')",0.2147244687014892,0.30652583287446644,0.3934252386002121,0.2740707758240155,0.1926303443902947
"('S02', 'S03', 'S07', 'S12')",0.2147244687014892,0.30634201629007196,0.3890063424947146,0.2729607886094942,0.1891910276636601
"('S03', 'S06', 'S07', 'S11')",0.21418280868127715,0.42943679815751856,0.4053475935828877,0.20539539410411023,0.1652254265485811
"('S06', 'S07', 'S09', 'S11')",0.21418280868127715,0.41879090929402996,0.4190064794816415,0.20534813484829886,0.19921199391839275
"('S06', 'S07', 'S08', 'S11')",0.21418280868127715,0.4157540396987899,0.4174757281553398,0.2038917626031617,0.18795188870514823
"('S06', 'S07', 'S11', 'S12')",0.21418280868127715,0.4111223007824307,0.4174757281553398,0.20473306189301846,0.19600094249357855
"('S04', 'S06', 'S07', 'S09')",0.21418280868127715,0.36860684074810834,0.5869565217391305,0.26616327546170876,0.18960647801308658
"('S04', 'S06', 'S07', 'S08')",0.21418280868127715,0.36599258676341084,0.5642857142857143,0.2611835605287192,0.1772767801489521
"('S04', 'S06', 'S07', 'S12')",0.21418280868127715,0.36066809003882694,0.5850422195416164,0.26548427736122626,0.18625593517362238
"('S03', 'S04', 'S06', 'S07')",0.21418280868127715,0.3588024796924746,0.5208333333333334,0.2574664842996796,0.15010138145754046
"('S05', 'S06', 'S07', 'S09')",0.21418280868127715,0.33999648183927567,0.5850422195416164,0.2634492037884371,0.18692554963031402
"('S03', 'S06', 'S07', 'S09')",0.21418280868127715,0.3335203281706328,0.3934252386002121,0.2418599844423106,0.20449608708731204
"('S03', 'S05', 'S06', 'S07')",0.21418280868127715,0.3294536592527306,0.5279069767441861,0.25625040356113576,0.13968364809682937
"('S03', 'S06', 'S07', 'S08')",0.21418280868127715,0.3259739763576869,0.36875,0.23654619765152174,0.18993740613547297
"('S05', 'S06', 'S07', 'S12')",0.21418280868127715,0.32474566305942165,0.5831325301204819,0.2627709744840179,0.1835027836179083
"('S03', 'S06', 'S07', 'S12')",0.21418280868127715,0.32441368864503517,0.3890063424947146,0.24076355402383087,0.20104982637687316
"('S05', 'S06', 'S07', 'S08')",0.21418280868127715,0.31739278685937267,0.566150178784267,0.25909928330479204,0.17272915151791143
"('S01', 'S02', 'S08', 'S11')",0.1957403480045622,0.4149800580766304,0.4174757281553398,0.23537777442558053,0.1719225738390755
"('S01', 'S02', 'S11', 'S12')",0.1957403480045622,0.38309310191320634,0.4174757281553398,0.24297692328351086,0.17932166102089797
"('S01', 'S02', 'S03', 'S11')",0.1957403480045622,0.3744593159206002,0.4053475935828877,0.24063119229650853,0.15954454574191165
