set,min_dissim,mean_dissim,max_jaccard_top,mean_jaccard_top,mean_abs_diff
"('S01', 'S03', 'S08', 'S11')",0.4755790630248703,0.537714287147494,0.32060301507537686,0.19301242314890488,0.1773540750315407
"('S03', 'S06', 'S08', 'S11')",0.46953858810408855,0.6028993124233168,0.32060301507537686,0.17055158939432924,0.22007648063092422
"('S01', 'S06', 'S08', 'S11')",0.42991932511237907,0.5976343203739996,0.2997032640949555,0.14019616513110286,0.19700851740285094
"('S01', 'S03', 'S06', 'S11')",0.42991932511237907,0.5822074652029645,0.32060301507537686,0.17675015228341584,0.18200401723772863
"('S01', 'S03', 'S06', 'S08')",0.42991932511237907,0.5011202542446649,0.2997032640949555,0.17785446210308034,0.20693448409019521
"('S03', 'S06', 'S11', 'S12')",0.39910647123045284,0.5787453330358943,0.32060301507537686,0.18341303110093174,0.22867128753106572
"('S01', 'S06', 'S11', 'S12')",0.39150946712132195,0.570392498024298,0.2997032640949555,0.15111238140280422,0.20487065161886117
"('S01', 'S03', 'S11', 'S12')",0.39150946712132195,0.48503502761797634,0.32060301507537686,0.21428549574921305,0.18521620924755092
"('S01', 'S03', 'S06', 'S12')",0.39150946712132195,0.4816457939722558,0.2997032640949555,0.19167444743349984,0.21805169526559595
"('S03', 'S05', 'S06', 'S08')",0.39062605896284464,0.5279047503430583,0.39638682252922425,0.21016506339172827,0.20645913398025353
"('S03', 'S05', 'S06', 'S09')",0.39062605896284464,0.5226200541205654,0.39638682252922425,0.21760629708583215,0.22151830852032348
"('S03', 'S05', 'S06', 'S12')",0.39062605896284464,0.5191800859177476,0.39638682252922425,0.22108001425138876,0.21794902777978886
"('S03', 'S04', 'S06', 'S08')",0.3815197105924758,0.5730232102874986,0.40384615384615385,0.20643085294858243,0.21241301322448022
"('S03', 'S04', 'S06', 'S12')",0.3815197105924758,0.5472247819978082,0.40384615384615385,0.2206387874612544,0.22199612862458915
"('S03', 'S04', 'S06', 'S09')",0.3815197105924758,0.539709147153226,0.40384615384615385,0.21721999276952794,0.2254886663473409
"('S03', 'S04', 'S07', 'S09')",0.3815197105924758,0.45750565728523207,0.40384615384615385,0.25055877677719257,0.18488496555450104
"('S02', 'S03', 'S08', 'S11')",0.3808981667102054,0.5973044292583194,0.32060301507537686,0.1806226843488202,0.2079826237739534
"('S02', 'S03', 'S04', 'S08')",0.3808981667102054,0.5570007019162297,0.40384615384615385,0.2202151668314364,0.20000641185495807
"('S02', 'S03', 'S11', 'S12')",0.3808981667102054,0.5560053827781894,0.32060301507537686,0.20148068621992643,0.21657743067409493
"('S02', 'S03', 'S05', 'S08')",0.3808981667102054,0.5295470331212615,0.39638682252922425,0.22269940758878623,0.19428455104602838
"('S02', 'S03', 'S04', 'S12')",0.3808981667102054,0.5140572065338322,0.40384615384615385,0.24241966150861213,0.209589527255067
"('S02', 'S03', 'S05', 'S12')",0.3808981667102054,0.5036773016032436,0.39638682252922425,0.2416109186129504,0.2057744448455637
"('S02', 'S03', 'S05', 'S09')",0.3808981667102054,0.49534741314582076,0.39638682252922425,0.23796563481746483,0.20933634703637716
"('S02', 'S03', 'S04', 'S09')",0.3808981667102054,0.4947717150290093,0.40384615384615385,0.23882930018695667,0.21307468642809754
"('S03', 'S07', 'S11', 'S12')",0.38002521495157426,0.5142038677076968,0.32060301507537686,0.2098001933186785,0.18932989522965984
"('S03', 'S04', 'S07', 'S12')",0.38002521495157426,0.4668632619571109,0.40384615384615385,0.2541904244480546,0.18134694926584427
"('S01', 'S03', 'S06', 'S09')",0.3737843930035061,0.48197673529569773,0.2997032640949555,0.18952111386574097,0.22170396211905033
"('S03', 'S07', 'S08', 'S11')",0.36813214528046867,0.5478717544997691,0.32060301507537686,0.19194225456685757,0.1807771184287602
"('S03', 'S04', 'S07', 'S08')",0.36813214528046867,0.502175597651451,0.40384615384615385,0.2349859928901642,0.1718058639649772
"('S03', 'S05', 'S07', 'S08')",0.36015243196702007,0.464550199413561,0.39638682252922425,0.23646374041574467,0.16678970264004858
"('S03', 'S05', 'S07', 'S09')",0.36015243196702007,0.44790962595912176,0.39638682252922425,0.24868861817593133,0.1818523256467817
"('S03', 'S05', 'S07', 'S12')",0.36015243196702007,0.44631162758360055,0.39638682252922425,0.25237518832062356,0.17823756634034205
"('S01', 'S05', 'S06', 'S08')",0.33885904469476547,0.49070250510334235,0.32593340060544906,0.18904054738627052,0.18307846762635482
"('S01', 'S05', 'S06', 'S09')",0.33885904469476547,0.4880603787028587,0.3380855397148676,0.19537047492127782,0.19746299056037012
"('S01', 'S05', 'S06', 'S12')",0.33885904469476547,0.4788899977157529,0.3490759753593429,0.19801027281102987,0.19383568874175885
"('S01', 'S03', 'S05', 'S06')",0.33885904469476547,0.4716692343261486,0.39638682252922425,0.22740901373500558,0.15710914363789952
"('S01', 'S03', 'S05', 'S08')",0.33885904469476547,0.4669069475322414,0.39638682252922425,0.23832075593717506,0.165612010561097
"('S01', 'S03', 'S05', 'S12')",0.33885904469476547,0.4296570029648358,0.39638682252922425,0.25764733769054116,0.17636923167650106
"('S01', 'S03', 'S05', 'S09')",0.33885904469476547,0.41817308000101594,0.39638682252922425,0.2539589677880944,0.17997432446772257
"('S03', 'S06', 'S09', 'S11')",0.3338238977910577,0.5711500244724064,0.32060301507537686,0.18008043613422187,0.23201560423722323
"('S01', 'S06', 'S09', 'S11')",0.3338238977910577,0.568527602245098,0.2997032640949555,0.14861370571189894,0.20827298940309527
"('S02', 'S03', 'S09', 'S11')",0.3338238977910577,0.5366402175544609,0.32060301507537686,0.19797652462328755,0.2199143688305312
"('S03', 'S07', 'S09', 'S11')",0.3338238977910577,0.504766589316912,0.32060301507537686,0.20625474537283306,0.19271969050172236
"('S01', 'S03', 'S09', 'S11')",0.3338238977910577,0.46251582788785073,0.32060301507537686,0.21073824804561295,0.18859633800439535
"('S02', 'S07', 'S08', 'S11')",0.32488076698078316,0.5844441130033113,0.4053475935828877,0.15915573680369824,0.18569349879367328
"('S02', 'S03', 'S07', 'S11')",0.32488076698078316,0.5700555708524586,0.4053475935828877,0.20355391503663656,0.16339661202048475
"('S02', 'S07', 'S11', 'S12')",0.32488076698078316,0.5590685962983479,0.4053475935828877,0.1746533793914161,0.1942462755945729
"('S02', 'S07', 'S09', 'S11')",0.32488076698078316,0.558515765198248,0.4053475935828877,0.17198493682833646,0.19765090134430396
"('S02', 'S04', 'S07', 'S08')",0.32488076698078316,0.5169137765920331,0.4053475935828877,0.20993127512200352,0.17403757988989652
"('S02', 'S04', 'S07', 'S12')",0.32488076698078316,0.489893810984802,0.4053475935828877,0.22677541051579078,0.18357866519076357
"('S02', 'S04', 'S07', 'S09')",0.32488076698078316,0.48942065360360787,0.4053475935828877,0.22402076822769457,0.18713151195708888
"('S02', 'S03', 'S07', 'S08')",0.32488076698078316,0.4830682452746161,0.4053475935828877,0.20291514516611764,0.18922305929758623
"('S02', 'S03', 'S04', 'S07')",0.32488076698078316,0.4739651060041127,0.4053475935828877,0.2640903402527128,0.14701333482291853
"('S02', 'S05', 'S07', 'S09')",0.32488076698078316,0.47277149212825387,0.4053475935828877,0.22041810834089914,0.18451482510605657
"('S02', 'S05', 'S07', 'S08')",0.32488076698078316,0.47223524820489937,0.4053475935828877,0.20967652136204976,0.16943737162165493
"('S02', 'S03', 'S07', 'S09')",0.32488076698078316,0.46710309664948724,0.4053475935828877,0.21899345637262033,0.20468546787682773
"('S02', 'S03', 'S07', 'S12')",0.32488076698078316,0.46546009064694505,0.4053475935828877,0.22131655681255355,0.20103091305787635
"('S02', 'S05', 'S07', 'S12')",0.32488076698078316,0.46228904646204794,0.4053475935828877,0.22322767310282554,0.18088523532194836
"('S02', 'S03', 'S05', 'S07')",0.32488076698078316,0.45424029044788805,0.4053475935828877,0.2558891787914102,0.13617566102513345
"('S01', 'S02', 'S08', 'S11')",0.32116260867750623,0.5886867213688372,0.442371020856202,0.1625358649105272,0.18268177101703098
"('S01', 'S02', 'S11', 'S12')",0.32116260867750623,0.5442998319264285,0.442371020856202,0.1814486413467323,0.19054390523304118
"('S01', 'S02', 'S03', 'S11')",0.32116260867750623,0.538352995683901,0.442371020856202,0.21386858427458147,0.16952910558168766
"('S01', 'S02', 'S09', 'S11')",0.32116260867750623,0.5306650794869876,0.442371020856202,0.17877839902589807,0.19393886446755412
"('S01', 'S02', 'S05', 'S08')",0.32116260867750623,0.4889920720413806,0.442371020856202,0.21384349640826186,0.16867099516328055
"('S01', 'S02', 'S03', 'S08')",0.32116260867750623,0.48835419822145953,0.442371020856202,0.20987239862209542,0.194027523834526
"('S01', 'S02', 'S05', 'S12')",0.32116260867750623,0.46003449756108394,0.442371020856202,0.2308097819975249,0.17942821627868458
"('S01', 'S02', 'S05', 'S09')",0.32116260867750623,0.45743502188794893,0.442371020856202,0.22799841747784388,0.18304813954757462
"('S01', 'S02', 'S03', 'S12')",0.32116260867750623,0.4517346708563432,0.442371020856202,0.2316889441170186,0.20514473500992672
"('S01', 'S02', 'S03', 'S09')",0.32116260867750623,0.44029575551954436,0.442371020856202,0.22936404391933074,0.20878962331366
"('S01', 'S02', 'S03', 'S05')",0.32116260867750623,0.4350519307502857,0.442371020856202,0.26699069496873823,0.14455350590460422
"('S01', 'S04', 'S06', 'S08')",0.30914448088588053,0.5323862624746967,0.2997032640949555,0.18753052837163686,0.18495628243122023
"('S01', 'S02', 'S04', 'S08')",0.30914448088588053,0.5130110382632629,0.442371020856202,0.21358344707942423,0.17031679153284887
"('S01', 'S04', 'S06', 'S12')",0.30914448088588053,0.5034999912227274,0.32861476238624876,0.19979323744940772,0.19380672514719785
"('S01', 'S04', 'S06', 'S09')",0.30914448088588053,0.5017147691624331,0.31795386158475425,0.19720836203348582,0.19735728394802624
"('S01', 'S03', 'S04', 'S06')",0.30914448088588053,0.48839927886659373,0.40384615384615385,0.23384540242172078,0.16522442397230844
"('S01', 'S03', 'S04', 'S08')",0.30914448088588053,0.48387278360488006,0.40384615384615385,0.23632820532280321,0.16767375998735243
"('S01', 'S02', 'S04', 'S12')",0.30914448088588053,0.46697969991858657,0.442371020856202,0.2338427163216988,0.17916723424882652
"('S01', 'S02', 'S04', 'S09')",0.30914448088588053,0.4534246211980514,0.442371020856202,0.23108627427584794,0.18271041449993372
"('S01', 'S02', 'S03', 'S04')",0.30914448088588053,0.434117184141259,0.442371020856202,0.2746770533412495,0.1524367678037161
"('S01', 'S03', 'S04', 'S12')",0.30914448088588053,0.4295490751730947,0.40384615384615385,0.2589477707291809,0.17652420270333002
"('S01', 'S03', 'S04', 'S09')",0.30914448088588053,0.4071095491618748,0.40384615384615385,0.2553143233005642,0.18005255247676868
"('S03', 'S06', 'S07', 'S11')",0.3057183949369975,0.5925901922917458,0.3245967741935484,0.1767549726074554,0.1755655052441918
"('S06', 'S07', 'S09', 'S11')",0.3057183949369975,0.5750584398765819,0.3245967741935484,0.15213973307632186,0.21167900784751117
"('S06', 'S07', 'S08', 'S11')",0.3057183949369975,0.5720718639286972,0.3245967741935484,0.14713552658625842,0.19971422674715933
"('S06', 'S07', 'S11', 'S12')",0.3057183949369975,0.563841414316441,0.3245967741935484,0.15463660900947251,0.20826700354805897
"('S04', 'S06', 'S07', 'S09')",0.3057183949369975,0.5163909534882132,0.3245967741935484,0.200462345547317,0.2014723629728475
"('S04', 'S06', 'S07', 'S08')",0.3057183949369975,0.5149691527236904,0.3245967741935484,0.1941978459762007,0.18837105235593396
"('S03', 'S04', 'S06', 'S07')",0.3057183949369975,0.5069273526496711,0.40384615384615385,0.2335781788951686,0.15949497255917697
"('S04', 'S06', 'S07', 'S12')",0.3057183949369975,0.5050942542091663,0.32861476238624876,0.20304542120548427,0.19791213765680102
"('S03', 'S06', 'S07', 'S09')",0.3057183949369975,0.4874642283458642,0.3245967741935484,0.189470015881015,0.2172937882498842
"('S05', 'S06', 'S07', 'S09')",0.3057183949369975,0.48207700086338723,0.3380855397148676,0.1981096553463176,0.19862365768651813
"('S03', 'S06', 'S07', 'S08')",0.3057183949369975,0.4745144532180452,0.3245967741935484,0.18121669820908712,0.2018240011209215
"('S03', 'S06', 'S07', 'S12')",0.3057183949369975,0.47405136568308126,0.3245967741935484,0.19162154969101933,0.21363185488121164
"('S03', 'S05', 'S06', 'S07')",0.3057183949369975,0.46953774594397446,0.39638682252922425,0.2266269871196621,0.1484252803260948
"('S05', 'S06', 'S07', 'S12')",0.3057183949369975,0.4598246985369404,0.3490759753593429,0.20074765347831502,0.19498668935268879
"('S05', 'S06', 'S07', 'S08')",0.3057183949369975,0.4526258331870847,0.32593340060544906,0.19519306190204297,0.18353882565239532
"('S02', 'S05', 'S08', 'S11')",0.23615671491984402,0.58268138383803,0.5907990314769975,0.2340266005509578,0.17586965752301578
"('S05', 'S06', 'S08', 'S11')",0.23615671491984402,0.577220644041784,0.5907990314769975,0.23117049309349058,0.1894640265873917
"('S05', 'S06', 'S09', 'S11')",0.23615671491984402,0.5619727486393566,0.5907990314769975,0.23536261560572994,0.20101819509885085
"('S05', 'S06', 'S11', 'S12')",0.23615671491984402,0.5607286175391808,0.5907990314769975,0.23918167489443296,0.19769884342753652
"('S01', 'S05', 'S06', 'S11')",0.23615671491984402,0.5584639223448655,0.5907990314769975,0.20909971883716505,0.16207751762567044
"('S05', 'S06', 'S07', 'S11')",0.23615671491984402,0.557375778544009,0.5907990314769975,0.21189481757097037,0.1612098466274478
"('S03', 'S05', 'S06', 'S11')",0.23615671491984402,0.5503855510757782,0.5907990314769975,0.2635772902319567,0.17263028233047994
"('S02', 'S05', 'S11', 'S12')",0.23615671491984402,0.5490442902427197,0.5907990314769975,0.25003434251640383,0.1841044743631606
"('S02', 'S05', 'S07', 'S11')",0.23615671491984402,0.5458967800659655,0.5907990314769975,0.23147877250312776,0.14754044119633564
"('S02', 'S05', 'S09', 'S11')",0.23615671491984402,0.5385185646826549,0.5907990314769975,0.24604371659777188,0.18741644748475372
"('S01', 'S02', 'S05', 'S11')",0.23615671491984402,0.5256650757870456,0.5907990314769975,0.239003163331307,0.14810209376222436
"('S02', 'S03', 'S05', 'S11')",0.23615671491984402,0.5209394203581232,0.5907990314769975,0.28121212990116523,0.16088774799588304
"('S03', 'S05', 'S07', 'S11')",0.23615671491984402,0.45852716780672675,0.5907990314769975,0.2898591221390998,0.1399099919253273
"('S03', 'S05', 'S08', 'S11')",0.23615671491984402,0.4538794433140134,0.5907990314769975,0.34624616830739413,0.16619813599815686
"('S01', 'S05', 'S08', 'S11')",0.23615671491984402,0.44658982605196773,0.5907990314769975,0.257514131663185,0.10835998021726938
"('S05', 'S07', 'S08', 'S11')",0.23615671491984402,0.44527642251460486,0.5907990314769975,0.2592342414909034,0.11735386460980306
"('S01', 'S03', 'S05', 'S11')",0.23615671491984402,0.423895387810006,0.5907990314769975,0.29507355344249736,0.14006032887063882
"('S05', 'S07', 'S11', 'S12')",0.23615671491984402,0.41927048860735205,0.5907990314769975,0.2722419203370641,0.125546651350706
"('S05', 'S07', 'S09', 'S11')",0.23615671491984402,0.41867264988023123,0.5907990314769975,0.26821000806922557,0.12891148158792534
"('S03', 'S05', 'S11', 'S12')",0.23615671491984402,0.4119499796315941,0.5907990314769975,0.36461420643694326,0.17443295283830165
"('S01', 'S05', 'S11', 'S12')",0.23615671491984402,0.4015725194072698,0.5907990314769975,0.27393694435783295,0.1158621243732829
"('S03', 'S05', 'S09', 'S11')",0.23615671491984402,0.39253980678084444,0.5907990314769975,0.35974657513554553,0.17773009548222626
"('S01', 'S05', 'S09', 'S11')",0.23615671491984402,0.3878927593408079,0.5907990314769975,0.26990323233223973,0.11921728809528413
"('S02', 'S08', 'S09', 'S11')",0.20946273286914607,0.5390969112565351,0.5736526946107784,0.22032688864508562,0.19175841583293293
"('S06', 'S08', 'S09', 'S11')",0.20946273286914607,0.5386998476605795,0.5736526946107784,0.2172095323677612,0.20571148596940395
"('S04', 'S06', 'S08', 'S09')",0.20946273286914607,0.535819098778467,0.5736526946107784,0.2445882021052964,0.2039119063733111
"('S02', 'S04', 'S08', 'S09')",0.20946273286914607,0.5257885371681514,0.5736526946107784,0.2514187773109837,0.1896460917242887
