category,day_type,start,end,vi,status
attraction,Weekdays,09:00,17:00,0.5,as in article
attraction,Weekends,09:00,17:00,0.7,as in article
bus_station,Weekdays,07:00,09:00,0.5,as in article
bus_station,Weekdays,09:00,17:00,0.2,new or changed
bus_station,Weekdays,17:00,19:00,0.5,as in article
bus_station,Weekdays,19:00,22:00,0.2,new or changed
hospital,Weekdays,00:00,07:00,0.2,new or changed
hospital,Weekdays,07:00,10:00,0.8,as in article
hospital,Weekdays,10:00,16:00,0.4,as in article
hospital,Weekdays,16:00,19:00,0.8,as in article
hospital,Weekdays,19:00,24:00,0.2,new or changed
hospital,Weekends,00:00,24:00,0.2,as in article
industrial,Weekdays,07:00,09:00,0.6,as in article
industrial,Weekdays,09:00,17:00,0.2,new or changed
industrial,Weekdays,17:00,19:00,0.6,as in article
mall,Weekdays,12:00,14:00,0.6,as in article
mall,Weekdays,17:00,20:00,0.7,as in article
mall,Weekends,09:00,20:00,0.2,as in article
school,Weekdays,08:00,10:00,0.4,as in article
school,Weekdays,16:00,18:00,0.4,as in article
station,Weekdays,07:00,09:00,0.7,as in article
station,Weekdays,09:00,17:00,0.3,new or changed
station,Weekdays,17:00,19:00,0.7,as in article
station,Weekdays,19:00,24:00,0.3,new or changed
station,Weekends,09:00,24:00,0.3,new or changed
university,Weekdays,07:00,09:00,0.8,as in article
university,Weekdays,09:00,17:00,0.6,new or changed
university,Weekdays,17:00,19:00,0.8,as in article
